"Statistic Label","Year","County","Species","Forest Owner","UNIT","VALUE"
"Afforestation Area","2023","Co. Carlow","Total Afforestation","Total Afforestation","Hectares","24"
"Afforestation Area","2023","Co. Carlow","Total Afforestation","Farmer","Hectares","4"
"Afforestation Area","2023","Co. Carlow","Total Afforestation","Non-Farmer","Hectares","19"
"Afforestation Area","2023","Co. Carlow","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Carlow","Broadleaf","Total Afforestation","Hectares","10"
"Afforestation Area","2023","Co. Carlow","Broadleaf","Farmer","Hectares","1"
"Afforestation Area","2023","Co. Carlow","Broadleaf","Non-Farmer","Hectares","9"
"Afforestation Area","2023","Co. Carlow","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Carlow","Conifer","Total Afforestation","Hectares","13"
"Afforestation Area","2023","Co. Carlow","Conifer","Farmer","Hectares","3"
"Afforestation Area","2023","Co. Carlow","Conifer","Non-Farmer","Hectares","10"
"Afforestation Area","2023","Co. Carlow","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Cavan","Total Afforestation","Total Afforestation","Hectares","77"
"Afforestation Area","2023","Co. Cavan","Total Afforestation","Farmer","Hectares","29"
"Afforestation Area","2023","Co. Cavan","Total Afforestation","Non-Farmer","Hectares","48"
"Afforestation Area","2023","Co. Cavan","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Cavan","Broadleaf","Total Afforestation","Hectares","31"
"Afforestation Area","2023","Co. Cavan","Broadleaf","Farmer","Hectares","14"
"Afforestation Area","2023","Co. Cavan","Broadleaf","Non-Farmer","Hectares","18"
"Afforestation Area","2023","Co. Cavan","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Cavan","Conifer","Total Afforestation","Hectares","45"
"Afforestation Area","2023","Co. Cavan","Conifer","Farmer","Hectares","15"
"Afforestation Area","2023","Co. Cavan","Conifer","Non-Farmer","Hectares","30"
"Afforestation Area","2023","Co. Cavan","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Clare","Total Afforestation","Total Afforestation","Hectares","117"
"Afforestation Area","2023","Co. Clare","Total Afforestation","Farmer","Hectares","73"
"Afforestation Area","2023","Co. Clare","Total Afforestation","Non-Farmer","Hectares","44"
"Afforestation Area","2023","Co. Clare","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Clare","Broadleaf","Total Afforestation","Hectares","45"
"Afforestation Area","2023","Co. Clare","Broadleaf","Farmer","Hectares","22"
"Afforestation Area","2023","Co. Clare","Broadleaf","Non-Farmer","Hectares","23"
"Afforestation Area","2023","Co. Clare","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Clare","Conifer","Total Afforestation","Hectares","71"
"Afforestation Area","2023","Co. Clare","Conifer","Farmer","Hectares","50"
"Afforestation Area","2023","Co. Clare","Conifer","Non-Farmer","Hectares","21"
"Afforestation Area","2023","Co. Clare","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Cork","Total Afforestation","Total Afforestation","Hectares","127"
"Afforestation Area","2023","Co. Cork","Total Afforestation","Farmer","Hectares","87"
"Afforestation Area","2023","Co. Cork","Total Afforestation","Non-Farmer","Hectares","40"
"Afforestation Area","2023","Co. Cork","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Cork","Broadleaf","Total Afforestation","Hectares","84"
"Afforestation Area","2023","Co. Cork","Broadleaf","Farmer","Hectares","52"
"Afforestation Area","2023","Co. Cork","Broadleaf","Non-Farmer","Hectares","32"
"Afforestation Area","2023","Co. Cork","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Cork","Conifer","Total Afforestation","Hectares","43"
"Afforestation Area","2023","Co. Cork","Conifer","Farmer","Hectares","35"
"Afforestation Area","2023","Co. Cork","Conifer","Non-Farmer","Hectares","8"
"Afforestation Area","2023","Co. Cork","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Donegal","Total Afforestation","Total Afforestation","Hectares","21"
"Afforestation Area","2023","Co. Donegal","Total Afforestation","Farmer","Hectares","7"
"Afforestation Area","2023","Co. Donegal","Total Afforestation","Non-Farmer","Hectares","14"
"Afforestation Area","2023","Co. Donegal","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Donegal","Broadleaf","Total Afforestation","Hectares","12"
"Afforestation Area","2023","Co. Donegal","Broadleaf","Farmer","Hectares","3"
"Afforestation Area","2023","Co. Donegal","Broadleaf","Non-Farmer","Hectares","9"
"Afforestation Area","2023","Co. Donegal","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Donegal","Conifer","Total Afforestation","Hectares","9"
"Afforestation Area","2023","Co. Donegal","Conifer","Farmer","Hectares","4"
"Afforestation Area","2023","Co. Donegal","Conifer","Non-Farmer","Hectares","6"
"Afforestation Area","2023","Co. Donegal","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Dublin","Total Afforestation","Total Afforestation","Hectares",""
"Afforestation Area","2023","Co. Dublin","Total Afforestation","Farmer","Hectares",""
"Afforestation Area","2023","Co. Dublin","Total Afforestation","Non-Farmer","Hectares",""
"Afforestation Area","2023","Co. Dublin","Total Afforestation","Public Sector","Hectares",""
